NAME,Type,District,Management,Long,Lat
Pak Fuk Children's Playground,Playground,North,Leisure and Cultural Services Department,114.134,22.4946
Pak Fuk Tin Sum Playground,Playground,North,Leisure and Cultural Services Department,114.141,22.489
Shek Wu Hui Jockey Club Playground,Playground,North,Leisure and Cultural Services Department,114.126,22.5052
Shek Wu Hui Playground,Playground,North,Leisure and Cultural Services Department,114.128,22.5037
Kan Tau Wai Playground,Playground,North,Leisure and Cultural Services Department,114.15,22.539
Fan Ling Wai Playground,Playground,North,Leisure and Cultural Services Department,114.136,22.4971
Fan Leng Lau Road Playground,Playground,North,Leisure and Cultural Services Department,114.141,22.5005
Fan Leng Lau Pleasure Ground,Playground,North,Leisure and Cultural Services Department,114.14,22.4969
Fanling Station Playground,Playground,North,Leisure and Cultural Services Department,114.14,22.4914
Fanling Recreation Ground,Playground,North,Leisure and Cultural Services Department,114.138,22.4939
Luen Wo Hui Children's Playground,Playground,North,Leisure and Cultural Services Department,114.145,22.4998
Luen Wo Hui Playground,Playground,North,Leisure and Cultural Services Department,114.143,22.4974
Luen Wo Hui Playground,Playground,North,Leisure and Cultural Services Department,114.144,22.4986
Man Uk Bin Children's Playground,Playground,North,Leisure and Cultural Services Department,114.184,22.5268
Lin Ma Hang Playground,Playground,North,Leisure and Cultural Services Department,114.182,22.5524
Kwan Tei Children's Playground,Playground,North,Leisure and Cultural Services Department,114.16,22.5095
Chow Tin Tsuen Children's Playground,Playground,North,Leisure and Cultural Services Department,114.145,22.5363
Kam Tsin Village Children's Playground,Playground,North,Leisure and Cultural Services Department,114.111,22.5008
Kai Leng Playground,Playground,North,Leisure and Cultural Services Department,114.129,22.4941
Ma Mei Ha Playground,Playground,North,Leisure and Cultural Services Department,114.177,22.5182
Fung Wong Wu Playground,Playground,North,Leisure and Cultural Services Department,114.148,22.5374
Luk Keng Village Playground,Playground,North,Leisure and Cultural Services Department,114.216,22.5224
Ma Wat Wai Children's Playground,Playground,North,Leisure and Cultural Services Department,114.15,22.4992
"Lung Yeuk Tau, San Wai Children's Playground",Playground,North,Leisure and Cultural Services Department,114.148,22.5072
Kwu Tung Grass Soccer Pitch,Soccer Pitch,North,Leisure and Cultural Services Department,114.1,22.5046
Ping Che Mini-soccer Pitch,Soccer Pitch,North,Leisure and Cultural Services Department,114.162,22.5255
Po Wing Road Sports Centre,Sports Centre,North,Leisure and Cultural Services Department,114.128,22.4969
Wo Hing Sports Centre,Sports Centre,North,Leisure and Cultural Services Department,114.143,22.4847
Tin Ping Sports Centre,Sports Centre,North,Leisure and Cultural Services Department,114.134,22.5034
Luen Wo Hui Sports Centre,Sports Centre,North,Leisure and Cultural Services Department,114.145,22.5003
Lung Sum Avenue Sports Centre,Sports Centre,North,Leisure and Cultural Services Department,114.131,22.505
North District Sports Ground,Sports Ground,North,Leisure and Cultural Services Department,114.131,22.5063
Fanling Temporary Tennis Court,Sports Ground,North,Leisure and Cultural Services Department,114.139,22.4959
Sha Tau Kok Promenade Sitting-out Area,Waterfront,North,Leisure and Cultural Services Department,114.222,22.5444
Hang Hau Basketball Court,Basketball Court,Sai Kung,Leisure and Cultural Services Department,114.266,22.3211
Sha Kok Mei Basketball Court,Basketball Court,Sai Kung,Leisure and Cultural Services Department,114.267,22.3885
St.Peter's Village Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.273,22.3757
Pak Kong Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.259,22.3789
Hang Hau Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.269,22.3146
Pui Shing Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.268,22.3168
Tai Po Tsai Rest Garden,Garden and Sitting-out Area,Sai Kung,Leisure and Cultural Services Department,114.259,22.3383
